N,v1,v2,T,T*,Lf
1,0.700195471317364,0.407171853052105,45.8721981433261,17.79045014,8
2,0.0555886166442296,0.476379501409308,9.87060008404678,24.03431228,12
3,0.0832580515460642,0.459741140310326,12.14223347561,30.43231491,14
4,0.524681032356237,0.558089498742806,48.1044136831631,30.60565106,14
5,0.164158665061788,0.723756987000037,42.370888555129,33.068766,14
6,0.0431664318053124,0.502319399574603,18.3940894525504,42.12514251,18
7,0.0495726942669216,0.372929524164804,14.8794636246761,44.48765129,18
8,0.0240769864017108,0.465766573852378,18.7134575916879,46.99065001,22
9,0.101055798596946,0.488325137838188,24.8413731089253,57.70482501,26
10,0.273266788270082,0.454148746988287,29.6977948775338,63.35712303,26
11,0.0633308645798784,0.272807254862318,18.9761751710906,64.67308987,26
12,0.063381042333416,0.374169375151751,23.1540230466483,68.85468209,28
13,0.0492154451473911,0.272087832748303,20.1464983769217,68.93209371,28
14,0.176072684206424,0.272127043703953,21.4864988892421,69.38951853,28
15,0.157880984395737,0.271097433254029,22.5058588514523,73.67692044,30
16,0.0669242854814851,0.305564006019881,23.8558935488065,78.18769296,32
17,0.113693093317308,0.10127746553909,20.9147316274963,79.24692223,32
18,0.0770684205702668,0.0875551332876299,20.5882909808236,79.39748528,32
19,0.0340633684275184,0.078160130410592,21.4426313725289,83.65280669,34
20,0.0651575607643054,0.264898945529833,24.648449240704,84.67639647,34
21,0.267888176001832,0.313255979464438,31.6278125376866,88.80828173,36
22,0.174382940155645,0.267626807696784,27.4482643551525,89.1948882,36
23,0.115051657239131,0.124917308015305,26.4308079472501,99.10030917,40
24,0.198593120267325,0.104717319212492,27.5795264973949,99.27770957,40
25,0.176680182325161,0.242236208959763,29.8108134211023,99.29417595,40
26,0.187409893685873,0.0697890572784044,27.0440959126629,99.29872379,40
27,0.077563603835657,0.316596018952647,33.4629182076186,107.8009873,44
28,0.132207118925149,0.453034458508794,44.3111006973791,109.8613605,46
29,0.132685207923964,0.456021575325018,47.368843757714,116.623484,50
30,0.117131389501348,0.135648176860436,31.9322408903961,118.9962776,48
31,0.123147567793102,0.120319969861203,31.8456355582726,119.2245119,48
32,0.262277672152842,0.339349944265038,47.0457725728471,127.9252394,52
33,0.248189409974291,0.285000968911637,43.2413852699526,128.9247353,52
